"region","pct_haz","pct_nonhaz","pct_all_regions"
"NORTHWEST",0.00210579461836484191,0.99789420538163515809,0.32664789616672897113
"TEXAS GULF",0.28657833290868036618,0.71342166709131963382,0.21747140502052136004
"NORTHEAST",0.01274318466556027167,0.98725681533443972833,0.18835084945881346036
"S LA",0.42472114500309629631,0.57527885499690370369,0.07025238117158897714
"E PA, CENTRAL NY",0.0410299345456130368,0.9589700654543869632,0.05395644562142164795
"N TX, W OK",0.02277976921419097003,0.97722023078580902997,0.02359460989026877925
"S MS, S AL, PANHANDLE",0.00897594587090120069,0.99102405412909879931,0.02121498207289917047
"CLEVELAND",0.04036248737087860891,0.95963751262912139109,0.01937025932926953794
"S MO",0.04575674511581128831,0.95424325488418871169,0.01112548702236776569
"CENTRAL OH",0.01849499675401086938,0.98150500324598913062,0.01013330722425592228
"CENTRAL IL, W MI",0.03592661616899307898,0.96407338383100692102,0.00935324233659799291
"NORTHERN PLAINS",0.02205195923180105613,0.97794804076819894387,0.00839581265301954346
"N LA, S AR",0.44449930886063139506,0.55550069113936860494,0.00578027363161457268
"E MI, TOLEDO",0.54265852871233038008,0.45734147128766961992,0.00480653228014954295
"TN, N MS, N AL",0.03246519722191268016,0.96753480277808731984,0.00411762860597070485
"SOUTHERN CAL",0.06859582761438284731,0.93140417238561715269,0.0036402473009718108
"WI, MN, UP-MI",0.00378358153365725287,0.99621641846634274713,0.00310549332996922219
"CAROLINAS",0.0450907247656680911,0.9549092752343319089,0.00275782993198706646
"E MO, S IL",0.58181768764157051739,0.41818231235842948261,0.00259127741371430937
"CENTRAL IN",0.67350029047689331524,0.32649970952310668476,0.00229063961050870966
"GA, FL",0.02952259060430220815,0.97047740939569779185,0.00204765527544441973
"N IN",0.03938875080483703327,0.96061124919516296673,0.00185770982178498761
"NE KY",0.21361232100184061418,0.78638767899815938582,0.0018556495798460945
"ROCKY MOUNTAINS",0.22100072394622620644,0.77899927605377379356,0.00178546367636376569
"NORTHERN IL",0.04845263019309148447,0.95154736980690851553,0.00082936874038196138
"CENTRAL TEXAS",0.00749904767379204857,0.99250095232620795143,0.00070912214324980862
"EAST KY",0.04255785189325523082,0.95744214810674476918,0.00061235802686709984
"VIRGINIA",0.01618306327612889413,0.98381693672387110587,0.00060153047400717794
"PUERTO RICO",0.00256730034285150682,0.99743269965714849318,0.00045722760831315238
"NO REGION",0.01298723290588763289,0.98701276709411236711,0.00028693416149755807
,0.00084681585142494913,0.99915318414857505087,0.000000380419604906633199
