location_zip	fill_color	region_name
30525	#b3adc9	GA, FL
46001	#52a797	N IN
46011	#52a797	N IN
46012	#52a797	N IN
46013	#52a797	N IN
46016	#52a797	N IN
46017	#52a797	N IN
46030	#52a797	N IN
46031	#52a797	N IN
46032	#52a797	N IN
46033	#52a797	N IN
46034	#52a797	N IN
46035	#52a797	N IN
46036	#52a797	N IN
46038	#52a797	N IN
46039	#52a797	N IN
46040	#52a797	N IN
46041	#52a797	N IN
46044	#52a797	N IN
46049	#52a797	N IN
46050	#52a797	N IN
46051	#52a797	N IN
46052	#52a797	N IN
46055	#52a797	N IN
46056	#52a797	N IN
46057	#52a797	N IN
46058	#52a797	N IN
46060	#52a797	N IN
46064	#52a797	N IN
46065	#52a797	N IN
46068	#52a797	N IN
46069	#52a797	N IN
46070	#52a797	N IN
46071	#52a797	N IN
46072	#52a797	N IN
46074	#52a797	N IN
46075	#52a797	N IN
46076	#52a797	N IN
46077	#52a797	N IN
46147	#52a797	N IN
46186	#52a797	N IN
46280	#52a797	N IN
46501	#52a797	N IN
46504	#52a797	N IN
46510	#52a797	N IN
46511	#52a797	N IN
46524	#52a797	N IN
46526	#52a797	N IN
46528	#52a797	N IN
46538	#52a797	N IN
46539	#52a797	N IN
46542	#52a797	N IN
46543	#52a797	N IN
46550	#52a797	N IN
46553	#52a797	N IN
46555	#52a797	N IN
46562	#52a797	N IN
46567	#52a797	N IN
46570	#52a797	N IN
46573	#52a797	N IN
46580	#52a797	N IN
46582	#52a797	N IN
46701	#52a797	N IN
46702	#52a797	N IN
46703	#52a797	N IN
46705	#52a797	N IN
46706	#52a797	N IN
46710	#52a797	N IN
46711	#52a797	N IN
46714	#52a797	N IN
46721	#52a797	N IN
46723	#52a797	N IN
46725	#52a797	N IN
46730	#52a797	N IN
46731	#52a797	N IN
46732	#52a797	N IN
46733	#52a797	N IN
46737	#52a797	N IN
46738	#52a797	N IN
46740	#52a797	N IN
46741	#52a797	N IN
46742	#52a797	N IN
46743	#52a797	N IN
46745	#52a797	N IN
46747	#52a797	N IN
46748	#52a797	N IN
46750	#52a797	N IN
46755	#52a797	N IN
46759	#52a797	N IN
46760	#52a797	N IN
46763	#52a797	N IN
46764	#52a797	N IN
46765	#52a797	N IN
46766	#52a797	N IN
46767	#52a797	N IN
46770	#52a797	N IN
46772	#52a797	N IN
46773	#52a797	N IN
46774	#52a797	N IN
46776	#52a797	N IN
46777	#52a797	N IN
46779	#52a797	N IN
46781	#52a797	N IN
46783	#52a797	N IN
46784	#52a797	N IN
46785	#52a797	N IN
46787	#52a797	N IN
46788	#52a797	N IN
46791	#52a797	N IN
46792	#52a797	N IN
46793	#52a797	N IN
46794	#52a797	N IN
46795	#52a797	N IN
46797	#52a797	N IN
46798	#52a797	N IN
46802	#52a797	N IN
46803	#52a797	N IN
46804	#52a797	N IN
46805	#52a797	N IN
46806	#52a797	N IN
46807	#52a797	N IN
46808	#52a797	N IN
46809	#52a797	N IN
46814	#52a797	N IN
46815	#52a797	N IN
46816	#52a797	N IN
46818	#52a797	N IN
46819	#52a797	N IN
46825	#52a797	N IN
46835	#52a797	N IN
46845	#52a797	N IN
46901	#52a797	N IN
46902	#52a797	N IN
46910	#52a797	N IN
46911	#52a797	N IN
46913	#52a797	N IN
46914	#52a797	N IN
46917	#52a797	N IN
46919	#52a797	N IN
46920	#52a797	N IN
46923	#52a797	N IN
46926	#52a797	N IN
46928	#52a797	N IN
46929	#52a797	N IN
46932	#52a797	N IN
46936	#52a797	N IN
46938	#52a797	N IN
46939	#52a797	N IN
46940	#52a797	N IN
